"second","TerrenceJones","RashadVaughn","MalcolmBrogdon","SpencerHawes","TonySnell","GiannisAntetokounmpo","KhrisMiddleton","MirzaTeletovic","JasonTerry","MatthewDellavedova","GregMonroe","ThonMaker","JohnHenson","AxelToupane","MichaelBeasley","JabariParker","MilesPlumlee","SteveNovak"
2342,0,12,50,2,10,43,12,36,52,25,45,4,12,0,28,23,1,0
2343,0,12,50,2,10,43,12,36,52,25,45,4,12,0,28,23,1,0
2344,0,12,50,2,11,43,12,36,51,25,45,4,12,0,27,24,1,0
2345,0,12,51,2,11,43,12,36,50,25,45,4,12,0,27,24,1,0
2346,0,12,51,2,11,43,12,36,50,25,45,4,12,0,27,24,1,0
2347,0,12,50,2,11,43,12,36,50,26,45,4,12,0,27,24,1,0
2348,0,12,50,2,11,43,12,36,50,26,45,4,12,0,27,24,1,0
2349,0,12,50,2,11,43,12,37,49,26,45,4,12,0,26,25,1,0
2350,0,12,50,2,11,43,12,37,48,27,45,4,12,0,26,25,1,0
2351,0,12,50,2,11,43,12,37,48,27,45,4,12,0,26,25,1,0
2352,0,12,50,2,11,43,12,37,48,27,45,4,12,0,26,25,1,0
2353,0,12,50,2,11,43,12,37,48,27,45,4,12,0,26,25,1,0
2354,0,12,50,2,11,43,12,36,48,27,45,5,12,0,25,26,1,0
2355,0,12,50,2,11,43,12,36,48,27,45,5,12,0,25,26,1,0
2356,0,12,50,2,11,43,12,36,48,27,45,5,12,0,25,26,1,0
2357,0,12,50,2,11,43,12,36,48,27,45,5,12,0,25,26,1,0
2358,0,12,50,2,12,43,12,36,47,27,44,5,13,0,25,26,1,0
2359,0,12,50,2,12,43,12,36,47,27,44,5,13,0,25,26,1,0
2360,0,12,50,2,13,42,12,36,46,27,44,5,13,0,25,27,1,0
2361,0,12,51,2,13,42,12,36,45,27,44,5,13,0,25,27,1,0
2362,0,12,51,2,13,42,12,36,45,27,42,6,14,0,25,27,1,0
2363,0,12,51,2,13,42,12,36,45,27,42,6,14,0,25,27,1,0
2364,0,12,51,2,13,42,12,36,45,27,42,6,14,0,25,27,1,0
2365,0,12,51,2,13,42,12,36,45,28,42,6,14,0,24,27,1,0
2366,0,12,51,2,13,42,12,36,45,28,42,6,14,0,24,27,1,0
2367,0,13,50,2,13,42,12,36,45,29,42,6,14,0,23,27,1,0
2368,0,13,50,2,13,42,12,36,45,29,42,6,14,0,23,27,1,0
2369,0,12,50,2,13,43,11,36,46,29,42,6,14,0,23,27,1,0
2370,0,12,50,2,13,43,11,36,46,29,42,6,14,0,23,27,1,0
2371,0,12,50,2,13,43,11,36,46,29,42,6,14,0,23,27,1,0
2372,0,12,50,2,13,43,11,36,46,29,42,6,14,0,23,27,1,0
2373,0,12,50,2,14,43,11,35,46,29,42,6,14,0,22,28,1,0
2374,0,12,50,2,14,43,11,35,46,29,42,6,14,0,22,28,1,0
2375,0,13,50,2,13,43,11,35,46,29,41,7,14,0,22,27,2,0
2376,0,13,50,2,13,43,11,35,46,29,41,7,14,0,22,27,2,0
2377,0,13,50,2,13,43,11,35,46,29,41,7,14,0,21,28,2,0
2378,0,13,50,2,13,44,11,34,46,29,41,7,14,0,21,28,2,0
2379,0,13,50,2,13,44,11,34,46,29,41,7,14,0,21,28,2,0
2380,0,13,50,2,13,44,11,34,46,29,41,7,14,0,21,28,2,0
2381,0,13,50,2,13,44,11,34,46,29,41,7,14,0,21,28,2,0
2382,0,13,49,2,14,44,11,33,46,30,41,7,13,0,21,29,2,0
2383,0,13,49,2,14,44,11,33,46,30,41,7,13,0,21,29,2,0
2384,0,13,49,2,14,44,11,33,46,30,41,7,13,0,21,29,2,0
2385,0,13,49,2,15,44,11,33,45,30,41,7,13,0,21,29,2,0
2386,0,13,49,2,15,44,11,33,45,30,41,7,13,0,21,29,2,0
2387,0,13,49,2,15,45,11,33,45,29,41,7,13,0,21,29,2,0
2388,0,13,49,2,15,44,11,34,45,29,41,7,13,0,21,29,2,0
2389,0,13,49,2,15,44,11,34,45,29,41,7,13,0,21,29,2,0
2390,0,13,49,2,15,44,11,34,45,29,41,7,13,0,21,29,2,0
2391,0,13,49,2,15,44,11,34,45,29,41,7,13,0,21,29,2,0
2392,0,13,49,2,15,44,11,34,45,29,41,7,13,0,21,29,2,0
2393,0,13,49,2,15,44,11,34,45,29,41,7,13,0,21,29,2,0
2394,0,13,49,2,15,44,11,34,45,29,41,7,13,0,21,29,2,0
2395,0,13,49,2,15,44,11,34,45,29,41,7,13,0,21,29,2,0
2396,0,13,49,2,15,44,11,34,45,29,41,7,13,0,21,29,2,0
2397,0,13,49,2,15,44,11,34,45,29,41,7,13,0,21,29,2,0
2398,0,13,49,2,16,44,11,34,44,29,41,6,13,0,21,30,2,0
2399,0,13,49,2,16,44,11,34,44,29,41,6,13,0,21,30,2,0
2400,0,13,49,2,16,44,11,34,44,29,41,6,13,0,21,30,2,0
2401,0,13,49,2,16,44,11,34,44,29,41,6,13,0,21,30,2,0
2402,0,13,49,2,16,44,11,34,44,29,41,6,13,0,21,30,2,0
2403,0,13,49,2,16,44,11,34,44,29,41,6,13,0,21,30,2,0
2404,0,13,49,2,16,44,11,34,44,29,41,6,13,0,21,30,2,0
2405,0,13,49,2,16,44,11,34,44,29,41,6,13,0,21,30,2,0
2406,0,13,49,2,16,44,11,34,44,29,41,6,13,0,21,30,2,0
2407,0,13,49,2,16,44,11,34,44,29,41,6,13,0,21,30,2,0
2408,0,13,49,2,16,44,11,34,44,29,41,6,13,0,21,30,2,0
2409,0,13,48,2,17,44,11,34,44,29,40,6,14,0,20,31,2,0
2410,0,13,49,2,18,44,11,33,43,29,40,6,14,0,20,31,2,0
2411,0,13,49,2,18,44,11,33,43,29,39,7,14,0,20,31,2,0
2412,0,13,49,2,18,45,11,33,43,29,38,7,14,0,20,31,2,0
2413,0,13,49,2,18,45,11,33,43,29,38,7,14,0,20,31,2,0
2414,0,13,49,2,18,46,11,32,43,29,39,7,13,0,20,31,2,0
2415,0,13,49,2,18,46,11,32,43,29,39,7,13,0,20,31,2,0
2416,0,13,49,2,18,46,11,32,43,29,39,7,13,0,20,31,2,0
2417,0,13,49,2,18,46,11,32,43,29,39,7,13,0,20,31,2,0
2418,0,13,49,2,18,46,11,32,43,29,39,7,13,0,20,31,2,0
2419,0,13,49,2,18,46,11,32,43,29,39,7,13,0,20,31,2,0
2420,0,13,49,2,18,46,11,32,43,29,39,7,13,0,20,31,2,0
2421,0,13,49,2,18,46,11,32,43,29,39,7,13,0,20,31,2,0
2422,0,13,49,2,18,46,11,32,43,29,39,7,13,0,20,31,2,0
2423,0,13,49,2,18,46,11,32,43,29,39,7,13,0,20,31,2,0
2424,0,13,49,2,18,46,11,32,43,29,40,7,12,0,20,31,2,0
2425,0,13,49,2,18,46,11,31,43,29,40,7,12,0,20,32,2,0
2426,0,13,50,2,18,46,11,31,43,28,40,7,12,0,20,32,2,0
2427,0,13,50,2,18,46,11,31,43,28,40,7,12,0,20,32,2,0
2428,0,13,50,2,18,46,11,31,43,28,40,7,12,0,20,32,2,0
2429,0,13,50,2,18,46,11,31,43,28,40,7,12,0,20,32,2,0
2430,0,13,50,2,18,46,11,31,43,28,40,7,12,0,20,32,2,0
2431,0,13,50,2,18,46,11,31,43,28,39,7,13,0,20,32,2,0
2432,0,13,50,2,18,46,11,31,43,28,39,7,13,0,20,32,2,0
2433,0,13,50,2,18,46,11,31,43,28,39,7,13,0,20,32,2,0
2434,0,12,50,2,19,46,11,31,43,28,39,7,13,0,20,32,2,0
2435,0,12,50,2,19,46,11,31,43,28,39,7,13,0,20,32,2,0
2436,0,11,50,2,20,46,11,31,43,28,39,7,13,0,20,32,2,0
2437,0,11,50,2,20,46,11,31,43,28,39,7,13,0,20,32,2,0
2438,0,11,50,2,20,46,11,31,43,28,39,7,13,0,20,32,2,0
2439,0,11,50,2,21,46,11,30,43,28,39,7,13,0,20,32,2,0
2440,0,11,50,2,21,46,11,30,43,28,39,7,13,0,20,32,2,0
2441,0,11,50,2,21,46,11,30,43,28,39,7,13,0,20,32,2,0
2442,0,11,50,2,21,46,11,30,43,28,39,7,13,0,20,32,2,0
2443,0,11,50,2,21,46,11,30,43,28,39,7,13,0,20,32,2,0
2444,0,11,50,2,21,47,11,29,43,28,39,7,13,0,20,32,2,0
2445,0,11,50,2,21,48,10,29,43,28,39,7,13,0,20,32,2,0
2446,0,11,50,2,21,48,10,29,43,28,39,7,13,0,20,32,2,0
2447,0,11,50,2,22,48,10,29,42,28,39,7,13,0,20,32,2,0
2448,0,11,51,2,22,48,10,29,42,27,39,7,13,0,20,32,2,0
2449,0,11,51,2,22,48,10,29,41,27,39,7,13,0,19,33,3,0
2450,0,11,51,2,22,48,10,29,41,27,39,7,13,0,19,33,3,0
2451,0,11,51,2,22,48,10,29,41,27,39,7,13,0,19,33,3,0
2452,0,11,51,2,22,48,10,29,41,27,39,7,13,0,19,33,3,0
2453,0,11,51,2,22,48,10,29,41,27,39,7,13,0,19,33,3,0
2454,0,11,51,2,22,48,10,29,41,27,39,7,13,0,18,34,3,0
